date,"1호선
설화명곡
(1_1_total_kwh)","1호선
월배기지
(1_2_total_kwh)","1호선
서부정류장
(1_3_total_kwh)","1호선
반월당
(1_4_total_kwh)","1호선
신천
(1_5_total_kwh)","1호선
방촌
(1_6_total_kwh)","1호선
안심
(1_7_total_kwh)","2호선
문양기지
(2_1_total_kwh)","2호선
대실
(2_2_total_kwh)","2호선
성서산단
(2_3_total_kwh)","2호선
죽전
(2_4_total_kwh)","2호선
반고개
(2_5_total_kwh)","2호선
대구은행
(2_6_total_kwh)","2호선
만촌
(2_7_total_kwh)","2호선
대공원
(2_8_total_kwh)","2호선
사월
(2_9_total_kwh)","2호선
영남대
(2_10_total_kwh)","3호선
칠곡기지
(3_1_total_kwh)","3호선
팔달시장
(3_2_total_kwh)","3호선
남산
(3_3_total_kwh)","3호선
범물기지
(3_4_total_kwh)","1호선
설화명곡
(1_1_peak_kw)","1호선
월배기지
(1_2_peak_kw)","1호선
서부정류장
(1_3_peak_kw)","1호선
반월당
(1_4_peak_kw)","1호선
신천
(1_5_peak_kw)","1호선
방촌
(1_6_peak_kw)","1호선
안심
(1_7_peak_kw)","2호선
문양기지
(2_1_peak_kw)","2호선
대실
(2_2_peak_kw)","2호선
성서산단
(2_3_peak_kw)","2호선
죽전
(2_4_peak_kw)","2호선
반고개
(2_5_peak_kw)","2호선
대구은행
(2_6_peak_kw)","2호선
만촌
(2_7_peak_kw)","2호선
대공원
(2_8_peak_kw)","2호선
사월
(2_9_peak_kw)","2호선
영남대
(2_10_peak_kw)","3호선
칠곡기지
(3_1_peak_kw)","3호선
팔달시장
(3_2_peak_kw)","3호선
남산
(3_3_peak_kw)","3호선
범물기지
(3_4_peak_kw)","휴일
(is_holiday)","승객수
(passengers)"
2023-02-20,16444,57696,39754,25760,30785,29016,54632,34262,85,37975,25884,30637,22410,19578,29044,18681,20171,31183,25244,29977,21817,1160,3636,2983,1828,2085,1956,3059,1754,202,2654,1776,2230,1611,1320,2066,1592,1354,1754,1860,2111,1351,0,177341
2023-02-21,16443,60600,40708,25372,31378,29317,54838,35069,0,37830,27154,32065,21505,20271,30242,17479,20680,31405,25074,31769,21094,1041,3979,3002,1670,2248,2129,2924,1836,0,2616,1795,2194,1419,1685,2018,1427,1435,1786,1884,2117,1293,0,179214
2023-02-22,16638,59930,37846,25264,30855,28289,54948,33296,9133,30299,26967,33671,20987,20624,30209,17513,20620,30147,24330,31968,20354,1131,3770,2729,1686,2173,2029,3014,1848,568,2184,2054,2354,1457,1766,1882,1442,1418,1705,1941,2117,1469,0,179691
2023-02-23,18107,56486,38511,27468,30856,29869,53576,30490,9374,32072,25107,34049,22641,21011,27530,20151,20380,28654,22943,29513,20106,1317,3559,2954,2237,2183,2189,3120,1843,641,2434,1786,2177,1642,1582,1901,1452,1522,1624,1728,1881,1328,0,178447
2023-02-24,15214,56584,41986,27616,31569,30688,51624,30908,9495,32543,25103,35768,22541,22731,28323,18767,21200,28344,23858,30273,19466,1119,3607,3046,2124,2193,2340,3105,1800,651,2218,1927,2342,1678,1728,2045,1392,1582,1598,1714,1912,1331,0,189472
2023-02-25,19540,47854,37553,26662,29892,27803,51281,32218,8838,29942,24644,31584,20623,20458,27780,17915,20411,30051,22587,29010,20375,1194,2503,2724,1874,2172,2008,2805,1759,589,1982,1574,2026,1390,1267,1790,1584,1303,1552,1541,1806,1212,1,167914
2023-02-26,15401,51846,36284,24878,30825,26979,51585,32379,8524,27281,22573,33379,19260,19374,28213,17642,19622,29871,21292,31733,18679,1023,2974,2479,1624,2104,1755,2834,1759,534,1745,1442,2028,1350,1279,1771,1254,1226,1541,1388,1947,1138,1,128343
2023-02-27,14720,61217,38447,26733,31185,29193,55486,32006,9918,30671,26768,33346,22333,21154,28980,17404,21020,29680,24057,30456,19644,1008,3689,2842,1780,2145,1981,3203,1802,632,1961,1862,2410,1878,1514,1980,1246,1646,1788,1858,2114,1276,0,177003
2023-02-28,15583,58405,38516,27505,30214,30145,54478,30719,10738,30078,26636,32229,21252,21502,28110,17669,20909,28921,23393,29284,19776,1046,3962,2606,1987,2254,2077,3114,1831,682,2093,1867,2474,1559,1435,2146,1354,1642,1682,1627,2036,1187,0,184789
2023-03-01,14143,53729,33490,25076,28602,27770,48431,25312,8415,30173,22909,31345,19546,18235,28333,16899,19419,26677,21171,28387,18680,989,3120,2246,1548,1928,2051,2734,1428,582,1906,1510,2021,1317,1207,1757,1162,1378,1532,1420,1803,1175,1,138054
2023-03-02,16795,54375,39811,24943,29870,28041,54585,30824,8363,28943,29019,32861,20679,20237,28736,18359,20566,30571,22742,30797,20218,1185,3530,2801,1764,2031,1920,2959,1608,564,2218,2131,2333,1457,1586,1985,1519,1438,1699,1860,2013,1302,0,181377
2023-03-03,18686,54524,39561,26892,29836,30194,53392,31589,8683,28498,30203,33283,23379,17757,30921,18775,19300,30408,21609,29603,19393,1338,3576,2796,1784,2016,2152,3022,1769,551,2047,2090,2311,1699,1435,2172,1279,1450,1702,1693,1981,1244,0,192467
2023-03-04,18084,46371,36737,27280,29414,28641,49950,28660,8828,29251,24055,30895,21366,19251,30439,15583,21007,26976,20514,27588,17908,1200,2897,2544,1991,2014,1976,2778,1543,572,1908,1613,1920,1442,1231,2083,1119,1421,1480,1348,1826,1040,1,166461
2023-03-05,14322,49868,32728,26328,27500,26483,45296,28152,7944,28040,21954,28394,21086,18144,26977,16221,19425,25681,20551,26734,18585,916,2868,2424,1820,1887,2058,2623,1474,557,1711,1514,1766,1421,1260,1829,1204,1378,1428,1316,1590,1037,1,123550
2023-03-06,16003,53029,37859,27158,30927,30796,47577,29003,8591,27776,25640,33112,21629,17643,29423,17372,19900,27343,21872,28428,18281,1035,3703,2652,1847,2106,2091,2634,1606,589,1802,1754,2489,1599,1241,2038,1405,1337,1578,1472,2025,1123,0,184286
2023-03-07,15150,53246,40195,26856,29125,29495,48233,26078,8898,27875,28916,32523,21021,18781,29261,18641,20338,26488,21081,27490,18590,1021,3422,2976,1903,1956,1955,3026,1630,561,1896,1932,2386,1494,1399,1922,1356,1464,1518,1702,1826,1189,0,183160
2023-03-08,14419,52268,36506,26570,28672,28880,49517,24292,8572,30514,25247,33859,21969,18414,30139,17916,20000,22869,20950,27068,17303,1108,3398,2820,2004,2022,2028,2928,1601,557,2323,1776,2366,1722,1409,2117,1329,1392,1492,1547,1742,1166,0,184131
2023-03-09,15600,48330,37799,26597,27024,28920,48083,23406,7979,29820,23234,38417,18845,18653,29691,17224,19729,22391,20580,26312,17793,1117,3137,2818,1805,1859,1981,2909,1354,536,2074,1826,2446,1371,1351,2033,1386,1380,1489,1526,1696,1138,0,182155
2023-03-10,15877,49046,38535,26398,28982,31983,44127,24152,8582,28952,22690,36018,19844,19153,30365,16711,20004,22900,20686,26955,17327,1048,3509,2645,1866,2100,2193,2742,1526,540,1994,1778,2321,1517,1418,2054,1206,1416,1414,1403,1889,1149,0,197487
2023-03-11,14902,44534,38807,25240,28175,29645,43236,22380,7980,29835,22349,30970,19166,20453,28789,17199,19852,20090,20238,25351,17226,962,2794,2419,1703,1828,2256,2663,1310,528,1958,1567,1908,1236,1471,1838,1256,1349,1207,1466,1477,1025,1,173921
